cell_id,lat,lon,elevation_ft,slope_deg,aspect_deg,aspect_cardinal,elevation_band,avy_slope,north_facing,terrain_risk_score,composite_risk_score,geopoint,geoshape
MBR-004576,41.071111,-106.434444,7953.0,28.8,238.0,SW,below_treeline,False,False,2,2,"41.071111,-106.434444","{""type"": ""Polygon"", ""coordinates"": [[[-106.43888888902241, 41.067777777213806], [-106.43000000012397, 41.067777777213806], [-106.43000000012397, 41.07444444388764], [-106.43888888902241, 41.07444444388764], [-106.43888888902241, 41.067777777213806]]]}"
MBR-004577,41.071111,-106.425463,8230.0,33.5,207.0,SW,below_treeline,True,False,2,2,"41.071111,-106.425463","{""type"": ""Polygon"", ""coordinates"": [[[-106.42990740753126, 41.067777777213806], [-106.42101851863282, 41.067777777213806], [-106.42101851863282, 41.07444444388764], [-106.42990740753126, 41.07444444388764], [-106.42990740753126, 41.067777777213806]]]}"
MBR-004578,41.071111,-106.416481,8012.0,48.4,142.0,SE,below_treeline,False,False,3,3,"41.071111,-106.416481","{""type"": ""Polygon"", ""coordinates"": [[[-106.42092592604011, 41.067777777213806], [-106.41203703714167, 41.067777777213806], [-106.41203703714167, 41.07444444388764], [-106.42092592604011, 41.07444444388764], [-106.42092592604011, 41.067777777213806]]]}"
MBR-004579,41.071111,-106.389537,8297.0,49.6,256.0,W,below_treeline,False,False,3,3,"41.071111,-106.389537","{""type"": ""Polygon"", ""coordinates"": [[[-106.39398148156668, 41.067777777213806], [-106.38509259266824, 41.067777777213806], [-106.38509259266824, 41.07444444388764], [-106.39398148156668, 41.07444444388764], [-106.39398148156668, 41.067777777213806]]]}"
MBR-004580,41.071111,-106.380556,8794.0,31.7,205.0,SW,below_treeline,True,False,2,2,"41.071111,-106.380556","{""type"": ""Polygon"", ""coordinates"": [[[-106.38500000007555, 41.067777777213806], [-106.37611111117711, 41.067777777213806], [-106.37611111117711, 41.07444444388764], [-106.38500000007555, 41.07444444388764], [-106.38500000007555, 41.067777777213806]]]}"
MBR-004581,41.071111,-106.371574,8800.0,25.1,115.0,SE,below_treeline,False,False,2,2,"41.071111,-106.371574","{""type"": ""Polygon"", ""coordinates"": [[[-106.3760185185844, 41.067777777213806], [-106.36712962968596, 41.067777777213806], [-106.36712962968596, 41.07444444388764], [-106.3760185185844, 41.07444444388764], [-106.3760185185844, 41.067777777213806]]]}"
MBR-004582,41.071111,-106.362593,8570.0,38.2,159.0,S,below_treeline,True,False,2,2,"41.071111,-106.362593","{""type"": ""Polygon"", ""coordinates"": [[[-106.36703703709325, 41.067777777213806], [-106.35814814819481, 41.067777777213806], [-106.35814814819481, 41.07444444388764], [-106.36703703709325, 41.07444444388764], [-106.36703703709325, 41.067777777213806]]]}"
MBR-004583,41.071111,-106.353611,8705.0,34.2,194.0,S,below_treeline,True,False,2,2,"41.071111,-106.353611","{""type"": ""Polygon"", ""coordinates"": [[[-106.3580555556021, 41.067777777213806], [-106.34916666670367, 41.067777777213806], [-106.34916666670367, 41.07444444388764], [-106.3580555556021, 41.07444444388764], [-106.3580555556021, 41.067777777213806]]]}"
MBR-004584,41.071111,-106.34463,8730.0,24.8,228.0,SW,below_treeline,False,False,1,1,"41.071111,-106.344630","{""type"": ""Polygon"", ""coordinates"": [[[-106.34907407411097, 41.067777777213806], [-106.34018518521253, 41.067777777213806], [-106.34018518521253, 41.07444444388764], [-106.34907407411097, 41.07444444388764], [-106.34907407411097, 41.067777777213806]]]}"
MBR-004585,41.071111,-106.335648,8815.0,17.0,248.0,W,below_treeline,False,False,1,1,"41.071111,-106.335648","{""type"": ""Polygon"", ""coordinates"": [[[-106.34009259261983, 41.067777777213806], [-106.33120370372139, 41.067777777213806], [-106.33120370372139, 41.07444444388764], [-106.34009259261983, 41.07444444388764], [-106.34009259261983, 41.067777777213806]]]}"
MBR-004586,41.071111,-106.326667,8746.0,24.3,118.0,SE,below_treeline,False,False,1,1,"41.071111,-106.326667","{""type"": ""Polygon"", ""coordinates"": [[[-106.33111111112868, 41.067777777213806], [-106.32222222223024, 41.067777777213806], [-106.32222222223024, 41.07444444388764], [-106.33111111112868, 41.07444444388764], [-106.33111111112868, 41.067777777213806]]]}"
MBR-004587,41.071111,-106.317685,8597.0,28.5,173.0,S,below_treeline,False,False,2,2,"41.071111,-106.317685","{""type"": ""Polygon"", ""coordinates"": [[[-106.32212962963754, 41.067777777213806], [-106.3132407407391, 41.067777777213806], [-106.3132407407391, 41.07444444388764], [-106.32212962963754, 41.07444444388764], [-106.32212962963754, 41.067777777213806]]]}"
MBR-004588,41.071111,-106.308704,8510.0,29.2,101.0,E,below_treeline,False,False,2,2,"41.071111,-106.308704","{""type"": ""Polygon"", ""coordinates"": [[[-106.3131481481464, 41.067777777213806], [-106.30425925924796, 41.067777777213806], [-106.30425925924796, 41.07444444388764], [-106.3131481481464, 41.07444444388764], [-106.3131481481464, 41.067777777213806]]]}"
MBR-004589,41.071111,-106.299722,8342.0,36.3,188.0,S,below_treeline,True,False,2,2,"41.071111,-106.299722","{""type"": ""Polygon"", ""coordinates"": [[[-106.30416666665525, 41.067777777213806], [-106.29527777775681, 41.067777777213806], [-106.29527777775681, 41.07444444388764], [-106.30416666665525, 41.07444444388764], [-106.30416666665525, 41.067777777213806]]]}"
MBR-004590,41.071111,-106.290741,8462.0,39.8,203.0,SW,below_treeline,True,False,2,2,"41.071111,-106.290741","{""type"": ""Polygon"", ""coordinates"": [[[-106.29518518516412, 41.067777777213806], [-106.28629629626568, 41.067777777213806], [-106.28629629626568, 41.07444444388764], [-106.29518518516412, 41.07444444388764], [-106.29518518516412, 41.067777777213806]]]}"
MBR-004591,41.071111,-106.281759,8513.0,33.1,218.0,SW,below_treeline,True,False,2,2,"41.071111,-106.281759","{""type"": ""Polygon"", ""coordinates"": [[[-106.28620370367297, 41.067777777213806], [-106.27731481477453, 41.067777777213806], [-106.27731481477453, 41.07444444388764], [-106.28620370367297, 41.07444444388764], [-106.28620370367297, 41.067777777213806]]]}"
MBR-004592,41.071111,-106.272778,8534.0,30.4,169.0,S,below_treeline,True,False,2,2,"41.071111,-106.272778","{""type"": ""Polygon"", ""coordinates"": [[[-106.27722222218182, 41.067777777213806], [-106.26833333328338, 41.067777777213806], [-106.26833333328338, 41.07444444388764], [-106.27722222218182, 41.07444444388764], [-106.27722222218182, 41.067777777213806]]]}"
MBR-004593,41.071111,-106.263796,8571.0,36.2,218.0,SW,below_treeline,True,False,2,2,"41.071111,-106.263796","{""type"": ""Polygon"", ""coordinates"": [[[-106.26824074069067, 41.067777777213806], [-106.25935185179223, 41.067777777213806], [-106.25935185179223, 41.07444444388764], [-106.26824074069067, 41.07444444388764], [-106.26824074069067, 41.067777777213806]]]}"
MBR-004594,41.071111,-106.254815,8631.0,35.1,191.0,S,below_treeline,True,False,2,2,"41.071111,-106.254815","{""type"": ""Polygon"", ""coordinates"": [[[-106.25925925919954, 41.067777777213806], [-106.2503703703011, 41.067777777213806], [-106.2503703703011, 41.07444444388764], [-106.25925925919954, 41.07444444388764], [-106.25925925919954, 41.067777777213806]]]}"
MBR-004595,41.071111,-106.245833,8819.0,48.0,232.0,SW,below_treeline,False,False,3,3,"41.071111,-106.245833","{""type"": ""Polygon"", ""coordinates"": [[[-106.25027777770839, 41.067777777213806], [-106.24138888880995, 41.067777777213806], [-106.24138888880995, 41.07444444388764], [-106.25027777770839, 41.07444444388764], [-106.25027777770839, 41.067777777213806]]]}"
MBR-004596,41.071111,-106.236852,8920.0,36.8,217.0,SW,below_treeline,True,False,2,2,"41.071111,-106.236852","{""type"": ""Polygon"", ""coordinates"": [[[-106.24129629621724, 41.067777777213806], [-106.2324074073188, 41.067777777213806], [-106.2324074073188, 41.07444444388764], [-106.24129629621724, 41.07444444388764], [-106.24129629621724, 41.067777777213806]]]}"
MBR-004597,41.071111,-106.22787,8981.0,34.5,232.0,SW,below_treeline,True,False,2,2,"41.071111,-106.227870","{""type"": ""Polygon"", ""coordinates"": [[[-106.23231481472611, 41.067777777213806], [-106.22342592582767, 41.067777777213806], [-106.22342592582767, 41.07444444388764], [-106.23231481472611, 41.07444444388764], [-106.23231481472611, 41.067777777213806]]]}"
MBR-004598,41.071111,-106.218889,9048.0,23.4,188.0,S,below_treeline,False,False,1,1,"41.071111,-106.218889","{""type"": ""Polygon"", ""coordinates"": [[[-106.22333333323496, 41.067777777213806], [-106.21444444433652, 41.067777777213806], [-106.21444444433652, 41.07444444388764], [-106.22333333323496, 41.07444444388764], [-106.22333333323496, 41.067777777213806]]]}"
